Tanggal,ticket_sales
2023-10-26,54262
2023-10-27,46037
2023-10-28,49426
2023-10-29,52524
2023-10-30,54328
2023-10-31,43998
2023-11-01,48327
2023-11-02,47625
2023-11-03,46733
2023-11-04,58827
2023-11-05,52024
2023-11-06,43695
2023-11-07,54589
2023-11-08,60610
2023-11-09,55162
2023-11-10,42403
2023-11-11,47578
2023-11-12,56334
2023-11-13,46461
2023-11-14,52219
2023-11-15,53873
2023-11-16,45365
2023-11-17,49702
2023-11-18,33793
2023-11-19,44878
2023-11-20,48737
2023-11-21,43761
2023-11-22,58162
2023-11-23,42849
2023-11-24,47799
2023-11-25,50653
2023-11-26,57206
2023-11-27,42820
2023-11-28,55815
2023-11-29,50051
2023-11-30,45092
2023-12-01,52310
2023-12-02,50995
2023-12-03,46998
2023-12-04,50349
2023-12-05,48073
2023-12-06,50567
2023-12-07,53310
2023-12-08,57930
2023-12-09,43810
2023-12-10,60665
2023-12-11,40239
2023-12-12,49241
2023-12-13,52941
2023-12-14,51404
2023-12-15,46886
2023-12-16,48959
2023-12-17,47534
2023-12-18,47053
2023-12-19,54248
2023-12-20,51785
2023-12-21,46535
2023-12-22,54497
2023-12-23,51536
2023-12-24,54064
2023-12-25,53148
2023-12-26,45855
2023-12-27,47199
2023-12-28,53736
2023-12-29,53051
2023-12-30,49895
2023-12-31,50586
2024-01-01,56388
2024-01-02,47042
2024-01-03,52735
2024-01-04,48989
2024-01-05,48911
2024-01-06,55493
2024-01-07,54127
2024-01-08,54067
2024-01-09,56527
2024-01-10,50105
2024-01-11,53409
2024-01-12,48448
2024-01-13,51620
2024-01-14,49349
2024-01-15,50484
2024-01-16,52975
2024-01-17,45908
2024-01-18,60461
2024-01-19,44969
2024-01-20,43929
2024-01-21,55790
2024-01-22,53958
2024-01-23,53120
2024-01-24,53141
2024-01-25,49938
2024-01-26,45513
2024-01-27,50379
2024-01-28,46614
2024-01-29,54875
2024-01-30,49264
2024-01-31,45872
2024-02-01,48393
2024-02-02,52064
2024-02-03,47181
2024-02-04,45888
2024-02-05,51218
2024-02-06,51224
2024-02-07,47465
2024-02-08,47644
2024-02-09,51160
2024-02-10,42759
2024-02-11,42962
2024-02-12,46407
2024-02-13,48932
2024-02-14,51554
2024-02-15,57376
2024-02-16,54288
2024-02-17,49200
2024-02-18,49904
2024-02-19,44987
2024-02-20,49907
2024-02-21,48556
2024-02-22,51613
2024-02-23,45863
2024-02-24,52596
2024-02-25,57663
2024-02-26,49456
2024-02-27,52008
2024-02-28,53450
2024-02-29,47993
2024-03-01,51120
2024-03-02,50062
2024-03-03,50488
2024-03-04,46134
2024-03-05,50122
2024-03-06,52489
2024-03-07,57255
2024-03-08,54796
2024-03-09,60765
2024-03-10,46163
2024-03-11,54361
2024-03-12,50916
2024-03-13,60949
2024-03-14,45958
2024-03-15,45801
2024-03-16,47003
2024-03-17,39380
2024-03-18,47371
2024-03-19,46204
2024-03-20,71052
2024-03-21,72392
2024-03-22,83133
2024-03-23,76652
2024-03-24,65961
2024-03-25,63711
2024-03-26,73443
2024-03-27,60758
2024-03-28,82820
2024-03-29,78256
2024-03-30,66715
2024-03-31,58008
2024-04-01,79477
2024-04-02,69198
2024-04-03,78664
2024-04-04,58839
2024-04-05,65804
2024-04-06,50026
2024-04-07,50234
2024-04-08,47749
2024-04-09,53114
2024-04-10,44661
2024-04-11,49288
2024-04-12,50601
2024-04-13,52572
2024-04-14,53558
2024-04-15,44376
2024-04-16,42329
2024-04-17,56388
2024-04-18,51661
2024-04-19,46257
2024-04-20,57755
2024-04-21,50578
2024-04-22,55896
2024-04-23,50337
2024-04-24,60303
2024-04-25,58776
2024-04-26,48755
2024-04-27,54857
2024-04-28,53226
2024-04-29,56843
2024-04-30,45175
2024-05-01,53430
2024-05-02,55292
2024-05-03,41206
2024-05-04,44083
2024-05-05,39803
2024-05-06,48652
2024-05-07,53587
2024-05-08,57511
2024-05-09,50370
2024-05-10,58143
2024-05-11,43099
2024-05-12,41483
2024-05-13,49722
2024-05-14,51920
2024-05-15,49836
2024-05-16,39662
2024-05-17,49554
2024-05-18,43477
2024-05-19,53348
2024-05-20,51832
2024-05-21,45300
2024-05-22,47430
2024-05-23,44703
2024-05-24,49686
2024-05-25,54775
2024-05-26,45071
2024-05-27,52520
2024-05-28,47348
2024-05-29,46035
2024-05-30,49464
2024-05-31,44823
2024-06-01,47231
2024-06-02,44010
2024-06-03,59823
2024-06-04,50176
2024-06-05,46501
2024-06-06,51069
2024-06-07,49438
2024-06-08,48895
2024-06-09,53070
2024-06-10,53787
2024-06-11,47347
2024-06-12,47120
2024-06-13,48624
2024-06-14,38490
2024-06-15,42424
2024-06-16,56834
2024-06-17,58224
2024-06-18,48754
2024-06-19,52882
2024-06-20,51556
2024-06-21,65394
2024-06-22,55597
2024-06-23,49360
2024-06-24,45222
2024-06-25,41967
2024-06-26,51017
2024-06-27,46218
2024-06-28,42888
2024-06-29,46767
2024-06-30,44592
2024-07-01,58435
2024-07-02,54408
2024-07-03,49960
2024-07-04,57399
2024-07-05,50386
2024-07-06,45693
2024-07-07,57615
2024-07-08,52694
2024-07-09,44813
2024-07-10,49048
2024-07-11,45621
2024-07-12,43086
2024-07-13,54630
2024-07-14,59547
2024-07-15,43007
2024-07-16,52814
2024-07-17,46746
2024-07-18,47564
2024-07-19,47038
2024-07-20,45680
2024-07-21,50242
2024-07-22,45845
2024-07-23,51352
2024-07-24,49748
2024-07-25,48805
2024-07-26,45462
2024-07-27,47116
2024-07-28,53776
2024-07-29,52504
2024-07-30,45112
2024-07-31,50496
2024-08-01,53756
2024-08-02,41652
2024-08-03,52716
2024-08-04,46686
2024-08-05,52852
2024-08-06,46183
2024-08-07,40975
2024-08-08,41862
2024-08-09,50240
2024-08-10,51298
2024-08-11,45478
2024-08-12,53192
2024-08-13,41692
2024-08-14,49669
2024-08-15,43944
2024-08-16,46740
2024-08-17,50236
2024-08-18,45697
2024-08-19,48077
2024-08-20,55031
2024-08-21,47115
2024-08-22,54178
2024-08-23,44351
2024-08-24,52649
2024-08-25,57207
2024-08-26,37641
2024-08-27,46015
2024-08-28,52885
2024-08-29,48984
2024-08-30,51855
2024-08-31,46980
2024-09-01,50432
2024-09-02,49221
2024-09-03,55838
2024-09-04,51272
2024-09-05,51688
2024-09-06,47940
2024-09-07,47561
2024-09-08,47837
2024-09-09,51972
2024-09-10,47895
2024-09-11,51448
2024-09-12,60377
2024-09-13,54355
2024-09-14,48369
2024-09-15,56006
2024-09-16,47959
2024-09-17,39809
2024-09-18,44959
2024-09-19,40646
2024-09-20,48242
2024-09-21,50092
2024-09-22,58382
2024-09-23,51634
2024-09-24,48904
2024-09-25,54147
2024-09-26,38944
2024-09-27,51178
2024-09-28,53854
2024-09-29,42607
2024-09-30,55718
2024-10-01,51692
2024-10-02,47923
2024-10-03,53163
2024-10-04,61353
2024-10-05,50909
2024-10-06,51241
2024-10-07,47703
2024-10-08,45750
2024-10-09,54151
2024-10-10,45719
2024-10-11,50357
2024-10-12,47611
2024-10-13,52394
2024-10-14,51668
2024-10-15,55187
2024-10-16,47449
2024-10-17,48650
2024-10-18,45106
2024-10-19,47778
2024-10-20,51886
2024-10-21,53784
2024-10-22,45389
2024-10-23,54348
2024-10-24,56778
2024-10-25,52067
2024-10-26,59383
2024-10-27,46131
2024-10-28,43776
2024-10-29,41106
2024-10-30,57480
2024-10-31,53271
2024-11-01,49722
2024-11-02,51399
2024-11-03,44372
2024-11-04,62228
2024-11-05,50646
2024-11-06,50546
2024-11-07,53628
2024-11-08,52405
2024-11-09,51119
2024-11-10,46047
2024-11-11,52357
2024-11-12,59410
2024-11-13,56727
2024-11-14,57965
2024-11-15,47443
2024-11-16,45051
2024-11-17,49371
2024-11-18,50278
2024-11-19,55470
2024-11-20,41537
2024-11-21,57647
2024-11-22,49209
2024-11-23,47865
2024-11-24,44939
2024-11-25,41725
2024-11-26,54115
2024-11-27,50366
2024-11-28,43550
2024-11-29,43524
2024-11-30,48321
2024-12-01,58345
2024-12-02,48702
2024-12-03,42484
2024-12-04,48771
2024-12-05,48636
2024-12-06,36515
2024-12-07,49728
2024-12-08,48845
2024-12-09,53481
2024-12-10,59244
2024-12-11,55632
2024-12-12,48655
2024-12-13,44467
2024-12-14,62866
2024-12-15,50296
2024-12-16,50069
2024-12-17,49879
2024-12-18,50990
2024-12-19,49278
2024-12-20,47131
2024-12-21,47265
2024-12-22,49836
2024-12-23,47282
2024-12-24,46435
2024-12-25,50532
2024-12-26,48725
2024-12-27,57519
2024-12-28,36745
2024-12-29,55457
2024-12-30,56230
2024-12-31,39633
2025-01-01,48286
2025-01-02,48142
2025-01-03,42962
2025-01-04,46110
2025-01-05,44447
2025-01-06,58761
2025-01-07,54678
2025-01-08,56357
2025-01-09,53608
2025-01-10,44354
2025-01-11,47377
2025-01-12,52446
2025-01-13,43889
2025-01-14,53564
2025-01-15,48798
2025-01-16,48125
2025-01-17,53554
2025-01-18,52221
2025-01-19,48195
2025-01-20,55796
2025-01-21,44594
2025-01-22,53079
2025-01-23,52965
2025-01-24,48452
2025-01-25,51630
2025-01-26,43744
2025-01-27,54620
2025-01-28,49075
2025-01-29,47386
2025-01-30,55245
2025-01-31,46478
2025-02-01,42957
2025-02-02,42216
2025-02-03,53030
2025-02-04,43597
2025-02-05,58773
2025-02-06,39590
2025-02-07,58482
2025-02-08,51055
2025-02-09,49516
2025-02-10,47275
2025-02-11,51995
2025-02-12,49811
2025-02-13,55516
2025-02-14,50571
2025-02-15,50751
2025-02-16,48181
2025-02-17,49715
2025-02-18,51539
2025-02-19,41449
2025-02-20,43259
2025-02-21,53716
2025-02-22,50854
2025-02-23,49080
2025-02-24,50092
2025-02-25,51737
2025-02-26,47301
2025-02-27,46108
2025-02-28,50979
2025-03-01,45108
2025-03-02,52041
2025-03-03,41487
2025-03-04,55145
2025-03-05,52362
2025-03-06,51280
2025-03-07,54913
2025-03-08,58327
2025-03-09,55071
2025-03-10,40795
